recipe_id,n_interactions,n_rated,mean_rating,median_rating,share_rated,bayes_mean,name,positives,wilson_lb,logw_mean,wilson_norm,logw_norm,score_combo_50_50,score_combo_70_30
62,22,22,4.681818181818182,5.0,1.0,4.678055299774913,black bean  corn  and tomato salad,21,0.7820151050048196,14.679813829122837,0.7230992074816036,0.21508543023964238,0.46909231886062297,0.5706950743090152
142,22,22,4.681818181818182,5.0,1.0,4.678055299774913,almond fudge banana cake,21,0.7820151050048196,14.679813829122837,0.7230992074816036,0.21508543023964238,0.46909231886062297,0.5706950743090152
153,48,37,4.918918918918919,5.0,0.7708333333333334,4.888273645093396,amish friendship bread and starter,37,0.9059390425448562,17.892991380275735,0.894168060576455,0.33969360876871807,0.6169308346725866,0.7278257250341339
192,29,28,4.857142857142857,5.0,0.9655172413793104,4.827499790724929,classic cream scones,27,0.8228742388150134,16.35543688850573,0.7795025569725018,0.28006669380414806,0.5297846253883249,0.6296717980219957
198,49,46,4.6521739130434785,5.0,0.9387755102040817,4.653088099880836,chinese hot and sour pork soup,42,0.7967506436477582,17.911556234042447,0.7434406503490717,0.34041356046005816,0.5419271054045649,0.6225325233823676
232,22,21,4.428571428571429,5.0,0.9545454545454546,4.473365118997025,chocolate cream meringue pie,18,0.6536350585077049,13.688902293443972,0.5458789887693807,0.1766575252830398,0.36126825702621024,0.43511254972347835
246,65,65,4.615384615384615,5.0,1.0,4.618678472770323,lee s hot crab dip,59,0.8128778304982671,19.33686804012196,0.7657031721259612,0.3956876637936352,0.5806954179597982,0.6546985196262634
280,25,21,4.380952380952381,5.0,0.84,4.434903580535487,spanish potato omelet  tortilla a la espanola,19,0.7108541613925933,13.541709795665005,0.624866200602218,0.17094934739700884,0.3979077739996134,0.4886911446406552
346,30,29,4.586206896551724,5.0,0.9666666666666667,4.5972792086447845,potatoes tapas in garlic mayonnaise  potatoes aioli,26,0.7361455275293085,15.598594888312645,0.6597792697323208,0.25071608943293167,0.45524767958262624,0.537060315642504
376,35,34,4.5,5.0,0.9714285714285714,4.520704951126222,yellow squash puffs,32,0.8090606311053629,15.999066276702361,0.7604337791810546,0.2662465135896508,0.5133401463853526,0.6121775995036334
414,20,20,5.0,5.0,1.0,4.932299723756906,moussaka,20,0.8388698745050667,15.222612188617115,0.8015834810162237,0.23613534541189418,0.5188594132140589,0.6319490403349248
432,49,46,4.804347826086956,5.0,0.9387755102040817,4.790343001841621,blue mountain blueberry pie,44,0.8546747708094659,18.49744826038963,0.8234011018709767,0.36313466349765294,0.5932678826843149,0.6853211703589795
445,33,32,4.6875,5.0,0.9696969696969697,4.683986299835747,remarkable rhubarb bites,30,0.7985253275199642,16.389879194374124,0.7458904848253701,0.2814023787858454,0.5136464318056078,0.6065440530135127
456,43,41,4.390243902439025,5.0,0.9534883720930233,4.4197281107374495,lentil dal,36,0.7445549235115514,16.409281251000156,0.6713878883290142,0.28215479750451233,0.47677134291676326,0.5546179610816636
519,49,48,4.520833333333333,5.0,0.9795918367346939,4.53410364328156,spicy hash browns   homemade,42,0.7529927291394518,17.59427093104179,0.6830357245748232,0.32810912254726005,0.5055724235610416,0.5765577439665542
536,66,65,4.046153846153846,4.0,0.9848484848484849,4.090107044198895,corn dog casserole,50,0.6535506019179673,16.95198764850692,0.5457624019966433,0.3032011463578864,0.42448177417726485,0.47299402530501616
548,21,20,4.85,5.0,0.9523809523809523,4.812299723756906,grilled bourbon salmon,19,0.7638641064874331,14.765933822958601,0.6980429466773299,0.21842519450600212,0.458234070591666,0.5541576210259316
558,24,23,4.913043478260869,5.0,0.9583333333333334,4.8681247533543806,german potato cheese soup,23,0.8568788745827373,15.61391664475295,0.826443722304771,0.2513102726461212,0.5388769974754462,0.653903687407176
607,147,128,4.6796875,5.0,0.8707482993197279,4.679003707473102,famous barr s french onion soup,120,0.8815107956585421,22.74240336103626,0.8604464708584916,0.5277555456644336,0.6941010082614626,0.7606391933002741
615,31,31,4.354838709677419,5.0,1.0,4.397430363720074,easy garlic chicken breasts,27,0.7114724304561464,15.092720867031066,0.6257196804198027,0.2310981133474026,0.4284088968836027,0.5073332102980826
632,83,81,4.45679012345679,5.0,0.9759036144578314,4.468691780161891,100  whole wheat blueberry muffins,71,0.7874473347058997,19.639822818054267,0.7305980436480329,0.407436358801566,0.5690172012247995,0.6336495381940928
