rating,count,prop,ci_low,ci_high
1,12818,0.01196244587128565,0.011758341380029848,0.012170049633569494
2,14123,0.013180341944154099,0.01296614199563195,0.013398032431285222
3,40855,0.03812807973719576,0.037767131401430884,0.03849233973415467
4,187360,0.1748544124234732,0.17413637534802492,0.17557478082060946
5,816364,0.7618747200238913,0.7610673041671124,0.7626802582165172
