recipe_id,n_interactions,n_rated,mean_rating,median_rating,share_rated,bayes_mean,std_rating,n_rated_ci,ci_mean_lower,ci_mean_upper,ci_bayes_lower,ci_bayes_upper,name,positives,wilson_lb,logw_mean,wilson_norm,logw_norm,score_combo_50_50,score_combo_70_30
486261,217,217,4.990783410138249,5.0,1.0,4.98336708600866,0.09578058500679063,217.0,4.978039705143465,5.003527115133033,4.888253624512831,5.078480547504489,mexican stack up  rsc,217,0.9826047266457045,26.872848631339096,1.0,0.7648918786663533,0.8824459393331767,0.9294675635999059
111777,203,193,4.958549222797927,5.0,0.9507389162561576,4.951047944918801,0.19984882023648184,193.0,4.930354292495254,4.9867441531006005,4.850334864513549,5.051761025324053,chicken pot pie with 2 crusts,193,0.9804838001723211,26.120933980433186,0.9978415262863394,0.7429232014830213,0.8703823638846804,0.9213660288453439
486496,202,192,5.0,5.0,0.9504950495049505,4.991408594385394,0.0,192.0,5.0,5.0,4.890440220591084,5.092376968179704,bacon lattice tomato muffins  rsc,192,0.9803841471883398,26.313450944524426,0.9977401091230803,0.7485479662503257,0.873144037686703,0.9229824662612539
46262,184,175,4.9714285714285715,5.0,0.9510869565217391,4.962819406077348,0.16707667138625512,175.0,4.946674600244323,4.99618254261282,4.857190636221848,5.068448175932849,uncle bill s method for cooking turkey,175,0.9785195390781564,25.70469186104681,0.9958424914344818,0.7307618627727193,0.8633021771036005,0.9163183028359531
128566,162,156,4.923076923076923,5.0,0.9629629629629629,4.9149533732541775,0.2673275516124678,156.0,4.881127159972909,4.965026686180938,4.8032656246360395,5.0266411218723155,homemade chicken pot pie,156,0.9759662065444789,24.89228704171475,0.9932439566784017,0.7070258453981588,0.8501349010382803,0.9073785232943288
69173,997,959,4.894681960375391,5.0,0.9618856569709128,4.8934725032094635,0.3935318345439073,959.0,4.869775118845106,4.919588801905676,4.847828896177623,4.939116110241304,kittencal s italian melt in your mouth meatballs,945,0.9756451539765882,33.61145447055691,0.9929172204444059,0.9617736074225828,0.9773454139334943,0.983574136537859
107786,685,587,4.943781942078364,5.0,0.8569343065693431,4.941397792388384,0.3900310744787145,587.0,4.9122298435222325,4.975334040634496,4.883152930304725,4.9996426544720425,beth s melt in your mouth barbecue ribs  oven,580,0.9755912439738638,31.525147534585713,0.99286235606073,0.9008180142226399,0.946840185141685,0.965249053509303
30358,159,152,4.940789473684211,5.0,0.9559748427672956,4.931894860470845,0.23679853206708257,152.0,4.903144646923718,4.978434300444703,4.81879328660226,5.04499643433943,perfect pasta with no watching and no sweating,152,0.97534932906233,24.854334730037625,0.9926161584748914,0.7059169933727442,0.8492665759238178,0.9066064089442472
8739,298,290,4.903448275862069,5.0,0.9731543624161074,4.899347434216687,0.3687468337751016,290.0,4.861008078776726,4.945888472947413,4.816837267122297,4.981857601311077,wholly guacamole,288,0.9752067986156325,27.81884719282022,0.9924711047795117,0.7925311020649619,0.8925011034222368,0.9324891039651468
221743,306,290,4.931034482758621,5.0,0.9477124183006536,4.926466078284483,0.3359677940940421,290.0,4.892366925264756,4.969702040252486,4.843955911190093,5.008976245378873,kittencal s best blasted rapid roast whole chicken,288,0.9752067986156325,27.975352662259432,0.9924711047795117,0.7971037196238744,0.894787412201693,0.9338608892328205
38298,644,572,4.886363636363637,5.0,0.8881987577639752,4.884415066020663,0.3734011716138362,572.0,4.855763331525394,4.916963941201879,4.825417979117085,4.943412152924242,olive garden copycat zuppa toscana,565,0.9749567519155896,31.032737024856118,0.9922166314462758,0.8864312649860127,0.9393239482161442,0.9604810215081969
10744,731,674,4.876854599406528,5.0,0.9220246238030095,4.875268767443186,0.38311100768074297,674.0,4.847931636991801,4.905777561821255,4.82088320960794,4.929654325278431,delicious chicken pot pie,665,0.9748183807225205,31.771306550293776,0.9920758106367307,0.9080100378723213,0.950042924254526,0.9668560788074079
71933,136,132,4.901515151515151,5.0,0.9705882352941176,4.892755424043231,0.29910422204733544,132.0,4.850490074506901,4.952540228523402,4.771679388820697,5.013831459265765,best baked potato,132,0.9717200032979587,23.970120348177836,0.9889225819369882,0.6800829172677849,0.8345027496023866,0.8962706825362272
41541,133,128,4.9140625,5.0,0.9624060150375939,4.9045676172475385,0.2813730045980521,128.0,4.86531800960735,4.96280699039265,4.7816843771154325,5.027450857379645,really really good candied sweet potatoes,128,0.9708620041018918,23.881421893308527,0.9880493933874117,0.677491416065705,0.8327704047265583,0.8948820001908996
28148,802,779,4.838254172015405,5.0,0.9713216957605985,4.837126904456534,0.4557826479836732,779.0,4.806247748368311,4.870260595662498,4.7865140952186955,4.887739713694373,oven fried chicken chimichangas,765,0.9700606083203323,32.21935658958618,0.9872338103153708,0.9211007080213003,0.9541672591683356,0.9673938796271495
43509,540,521,4.877159309021113,5.0,0.9648148148148148,4.875109302459929,0.4022489560567589,521.0,4.842619164130585,4.911699453911642,4.813318248561725,4.936900356358134,crumb topped banana muffins,513,0.969995719817051,30.51964172900151,0.9871677730762638,0.871440168715531,0.9293039708958974,0.9524494917680439
65340,307,284,4.911971830985915,5.0,0.9250814332247557,4.9076383844080365,0.3190051661391877,284.0,4.874870743695407,4.949072918276423,4.824276110369244,4.991000658446829,buttery bread machine rolls,281,0.969407789619729,27.764867628432278,0.9865694346179,0.7909539820778638,0.8887617083478819,0.9278847988558891
90674,441,417,4.887290167865707,5.0,0.9455782312925171,4.884614912544841,0.4034187969051095,417.0,4.848570092549007,4.926010243182407,4.815628708418598,4.953601116671083,denny s style french toast,411,0.9689678601155981,29.497149063514275,0.9861217169424187,0.8415660184202142,0.9138438676813164,0.9427550073857572
