recipe_id,n_interactions,n_rated,mean_rating,median_rating,share_rated,bayes_mean,name,positives,wilson_lb,logw_mean,wilson_norm,logw_norm,score_combo_50_50,score_combo_70_30
39087,1448,1359,4.838852097130243,5.0,0.93853591160221,4.838201974409034,creamy cajun chicken pasta,1326,0.9660949241485377,34.9134791023761,0.9831979207412059,0.9998148382813254,0.9915063795112657,0.9881829960032418
69173,997,959,4.894681960375391,5.0,0.9618856569709128,4.8934725032094635,kittencal s italian melt in your mouth meatballs,945,0.9756451539765882,33.61145447055691,0.9929172204444059,0.9617736074225828,0.9773454139334943,0.983574136537859
2886,1613,1401,4.819414703783012,5.0,0.8685678859268444,4.818853124533374,best banana bread,1347,0.95004880134349,34.919816571305,0.9668677298008224,1.0,0.9834338649004112,0.9768074108605755
28148,802,779,4.838254172015405,5.0,0.9713216957605985,4.837126904456534,oven fried chicken chimichangas,765,0.9700606083203323,32.21935658958618,0.9872338103153708,0.9211007080213003,0.9541672591683356,0.9673938796271495
10744,731,674,4.876854599406528,5.0,0.9220246238030095,4.875268767443186,delicious chicken pot pie,665,0.9748183807225205,31.771306550293776,0.9920758106367307,0.9080100378723213,0.950042924254526,0.9668560788074079
107786,685,587,4.943781942078364,5.0,0.8569343065693431,4.941397792388384,beth s melt in your mouth barbecue ribs  oven,580,0.9755912439738638,31.525147534585713,0.99286235606073,0.9008180142226399,0.946840185141685,0.965249053509303
67256,1322,1194,4.793132328308208,5.0,0.903177004538578,4.792583397075832,best ever banana cake with cream cheese frosting,1143,0.9442748959753767,33.963663384057284,0.9609916076821924,0.9720640890782596,0.966527848380226,0.9643133521010124
38298,644,572,4.886363636363637,5.0,0.8881987577639752,4.884415066020663,olive garden copycat zuppa toscana,565,0.9749567519155896,31.032737024856118,0.9922166314462758,0.8864312649860127,0.9393239482161442,0.9604810215081969
32204,1220,1155,4.78008658008658,5.0,0.9467213114754098,4.779575425080968,whatever floats your boat  brownies,1093,0.931779893070274,33.712617240529575,0.9482754029192083,0.9647292783006852,0.9565023406099468,0.9532115655336514
43509,540,521,4.877159309021113,5.0,0.9648148148148148,4.875109302459929,crumb topped banana muffins,513,0.969995719817051,30.51964172900151,0.9871677730762638,0.871440168715531,0.9293039708958974,0.9524494917680439
63689,720,693,4.789321789321789,5.0,0.9625,4.788406150564359,my family s favorite sloppy joes  pizza joes,671,0.9524015333601448,31.334003516482085,0.9692621127636301,0.895233362794204,0.932247737778917,0.9470534877728021
150863,714,671,4.825633383010432,5.0,0.9397759103641457,4.824419368482134,panera s cream cheese potato soup,649,0.950856861420786,31.416119980050606,0.9676900951481319,0.8976325580717535,0.9326613266099426,0.9466728340252184
29679,596,577,4.845753899480069,5.0,0.9681208053691275,4.844170950333201,reeses squares   5 ingredients   no bake  reese s,561,0.9554329581847869,30.816929873150723,0.9723472035864581,0.8801260312151874,0.9262366174008227,0.9446808518750769
4627,591,553,4.8661844484629295,5.0,0.9357021996615905,4.864350346046456,chicken tortilla soup ii,538,0.955731323713995,30.740488557028826,0.9726508511480028,0.8778926466211677,0.9252717488845852,0.9442233897899521
90674,441,417,4.887290167865707,5.0,0.9455782312925171,4.884614912544841,denny s style french toast,411,0.9689678601155981,29.497149063514275,0.9861217169424187,0.8415660184202142,0.9138438676813164,0.9427550073857572
22782,1234,1154,4.729636048526863,5.0,0.9351701782820098,4.729342099304507,jo mama s world famous spaghetti,1080,0.9202442543979888,33.35271056333905,0.936535546230686,0.9542138912181244,0.9453747187244053,0.9418390497269176
82102,855,827,4.761789600967352,5.0,0.9672514619883041,4.761186890737888,kittencal s moist cheddar garlic oven fried chicken breast,787,0.9348070344427718,31.994526967314574,0.9513561344589715,0.9145318648859996,0.9329439996724855,0.9403088535870798
89207,510,484,4.857438016528926,5.0,0.9490196078431372,4.855434546204341,kittencal s chocolate frosting icing,471,0.9545920119300597,30.039119922714924,0.9714913698702924,0.8574007715191295,0.914446070694711,0.9372641903649435
131018,610,560,4.835714285714285,5.0,0.9180327868852459,4.834172554148536,pulled pork  crock pot,539,0.9433536868472738,30.608721807420462,0.9600540901808796,0.8740428198061755,0.9170484549935276,0.9342507090684684
221743,306,290,4.931034482758621,5.0,0.9477124183006536,4.926466078284483,kittencal s best blasted rapid roast whole chicken,288,0.9752067986156325,27.975352662259432,0.9924711047795117,0.7971037196238744,0.894787412201693,0.9338608892328205
