recipe_id,n_interactions,n_rated,mean_rating,median_rating,share_rated,bayes_mean,name,positives,wilson_lb,logw_mean,wilson_norm,logw_norm,score_combo_50_50,score_combo_70_30
2886,1613,1401,4.819414703783012,5.0,0.8685678859268444,4.818853124533374,best banana bread,1347,0.95004880134349,34.919816571305,0.9550586842748424,1.0,0.9775293421374212,0.9685410789923896
39087,1448,1359,4.838852097130243,5.0,0.93853591160221,4.838201974409034,creamy cajun chicken pasta,1326,0.9660949241485377,34.9134791023761,0.9772093024634536,0.9997542306806447,0.9884817665720491,0.9839727809286108
67256,1322,1194,4.793132328308208,5.0,0.903177004538578,4.792583397075832,best ever banana cake with cream cheese frosting,1143,0.9442748959753767,33.963663384057284,0.9470881873005814,0.9629200362690948,0.9550041117848381,0.9518377419911354
32204,1220,1155,4.78008658008658,5.0,0.9467213114754098,4.779575425080968,whatever floats your boat  brownies,1093,0.931779893070274,33.712617240529575,0.929839656800151,0.9531843767315407,0.9415120167658458,0.9368430727795679
69173,997,959,4.894681960375391,5.0,0.9618856569709128,4.8934725032094635,kittencal s italian melt in your mouth meatballs,945,0.9756451539765882,33.61145447055691,0.9903927672234321,0.9492612482082734,0.9698270077158527,0.9780533115188844
27208,1601,1496,4.589572192513369,5.0,0.9344159900062461,4.58981178753759,to die for crock pot roast,1338,0.8777875240387489,33.555364590524846,0.8553067390326462,0.9470860625319631,0.9011964007823047,0.8828405360824412
22782,1234,1154,4.729636048526863,5.0,0.9351701782820098,4.729342099304507,jo mama s world famous spaghetti,1080,0.9202442543979888,33.35271056333905,0.9139154655861098,0.9392270666323612,0.9265712661092356,0.9215089458999852
54257,1305,1182,4.652284263959391,5.0,0.9057471264367816,4.652323077585445,yes  virginia there is a great meatloaf,1093,0.9082465200593762,32.91867423267102,0.8973533816676571,0.9223949819688227,0.9098741818182399,0.9048658617580068
89204,1579,1488,4.478494623655914,5.0,0.9423685877137429,4.479107497048843,crock pot chicken with black beans   cream cheese,1306,0.8600607440734009,32.71925487755796,0.8308360840653026,0.9146614278130103,0.8727487559391565,0.8559836871896149
28148,802,779,4.838254172015405,5.0,0.9713216957605985,4.837126904456534,oven fried chicken chimichangas,765,0.9700606083203323,32.21935658958618,0.982683668889118,0.8952751928097137,0.9389794308494158,0.9564611260652967
82102,855,827,4.761789600967352,5.0,0.9672514619883041,4.761186890737888,kittencal s moist cheddar garlic oven fried chicken breast,787,0.9348070344427718,31.994526967314574,0.9340184265602861,0.8865562193746501,0.9102873229674682,0.9197797644045953
10744,731,674,4.876854599406528,5.0,0.9220246238030095,4.875268767443186,delicious chicken pot pie,665,0.9748183807225205,31.771306550293776,0.9892514610710417,0.8778996514966995,0.9335755562838706,0.9558459181987389
107786,685,587,4.943781942078364,5.0,0.8569343065693431,4.941397792388384,beth s melt in your mouth barbecue ribs  oven,580,0.9755912439738638,31.525147534585713,0.9903183480069392,0.868353516529808,0.9293359322683736,0.9537288985637997
150863,714,671,4.825633383010432,5.0,0.9397759103641457,4.824419368482134,panera s cream cheese potato soup,649,0.950856861420786,31.416119980050606,0.9561741581162873,0.8641253888388172,0.9101497734775522,0.9285595273330461
68955,904,857,4.639439906651108,5.0,0.9480088495575221,4.639567857417544,japanese mum s chicken,795,0.9083353871687228,31.337579812793624,0.8974760568729125,0.8610795729673133,0.8792778149201129,0.8865571117012327
63689,720,693,4.789321789321789,5.0,0.9625,4.788406150564359,my family s favorite sloppy joes  pizza joes,671,0.9524015333601448,31.334003516482085,0.9583064762327007,0.8609408829129461,0.9096236795728234,0.9290967982367743
33671,727,678,4.789085545722714,5.0,0.9325997248968363,4.788151527223898,crock pot whole chicken,645,0.9324338256916869,31.2278123911255,0.9307423678160134,0.8568227529633922,0.8937825603897027,0.9085664833602269
33919,877,827,4.638452237001209,5.0,0.942987457240593,4.638590736891734,creamy burrito casserole,771,0.9130851612472327,31.165821596398857,0.9040328078945449,0.8544187276975973,0.8792257677960711,0.8891485838354605
25885,847,812,4.6317733990147785,5.0,0.9586776859504132,4.631955315904435,banana banana bread,746,0.8978925873858322,31.036268107154328,0.8830604579384361,0.8493945968925459,0.866227527415491,0.872960699624669
38298,644,572,4.886363636363637,5.0,0.8881987577639752,4.884415066020663,olive garden copycat zuppa toscana,565,0.9749567519155896,31.032737024856118,0.9894424734111076,0.8492576602538412,0.9193500668324743,0.9473870294639276
